Qty,Value,Device,Package,Parts,Description,
1,0.1µF,C-POL_RADIAL-11MM-DIA,CAPPRD508W65D1000H1100B,C1,"Capacitor Polarised - Generic",
1,1kΩ,PV36P,PV36P,TRIM_LED,"Rectangular Trimmer Potentiometers - PV36 Series",
1,220Ω,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,R_LED,"Resistor Fixed - Generic",
1,22kΩ,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,R_PHOTO,"Resistor Fixed - Generic",
2,2828XX-2282834-2,2828XX-2282834-2,TERMBLK_254-2N,"AUDIO, LED","2 Position Wire to Board Terminal Block Horizontal with Board",
1,50Ω,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,R_TERM,"Resistor Fixed - Generic",
1,5557969-1,5557969-1,TE_5557969-1,J1,"Conn RJ-45 F 8 POS 2.54mm Solder ST Thru-Hole 8 Terminal 1 Port Cat 3 Box/Package/Tray",
1,5kΩ,PV36P,PV36P,TRIM_EMITTER,"Rectangular Trimmer Potentiometers - PV36 Series",
1,68Ω,R_AXIAL-7.2MM-PITCH,RESAD724W46L381D178B,R_EMITTER,"Resistor Fixed - Generic",
1,B4B-XH-A,B4B-XH-A,B4B-XH-A,LICK,"XH Connector Top Entry - 4POS",
1,LM6132BIN,LM6132BIN,DIP794W45P254L959H508Q8,U1,,
1,PINHD-1X5,PINHD-1X5,1X05,AMP,"PIN HEADER",
